,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,10816,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19625425.0,19625425.0,False,,1,,,,2024-02-12T05:29:00.000Z,48190.78578224496,19254920871.811028,5.0949,0.14260066,-0.24267299,13.09339639,12.22468431,12.61968983,31.76117065,945764652060.5148,52.5336,1012006501427.14,,2024-02-12T05:29:00.000Z,,,,,,2024-02-12 05:38:46.104048
1,1027,Ethereum,ETH,ethereum,8397,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120169997.44293813,120169997.44293813,True,,2,,,,2024-02-12T05:29:00.000Z,2499.8754263298874,6934344794.453056,-2.4187,-0.05568561,-1.0171518,9.25598398,-1.82433206,10.61635322,21.41879442,300410023589.72644,16.6866,300410023589.73,,2024-02-12T05:29:00.000Z,,,,,,2024-02-12 05:38:46.104048
2,825,Tether USDt,USDT,tether,74514,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,96475135177.57817,99600626148.96388,True,,3,,,,2024-02-12T05:28:00.000Z,1.0003292912200776,31490490560.605038,4.7463,0.00363535,-0.00054933,0.11741573,0.05750494,0.0199513,0.00228053,96506903592.54794,5.3606,99633423760.67,,2024-02-12T05:28:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-02-12 05:38:46.104048
3,1839,BNB,BNB,bnb,2060,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,149545289.24967918,149545289.24967918,False,,4,,,,2024-02-12T05:28:00.000Z,320.148782865765,712799865.4221487,-3.7248,0.06272108,-1.02983275,6.06174804,7.57056046,28.28319798,31.55701885,47876742336.59356,2.6594,47876742336.59,,2024-02-12T05:28:00.000Z,,,,,,2024-02-12 05:38:46.104048
4,5426,Solana,SOL,solana,625,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,437310891.36632335,569376958.788106,True,,5,,,,2024-02-12T05:29:00.000Z,105.88036345301035,1523693846.822756,-4.3982,-0.04441504,-3.10767084,10.41581206,14.87944185,49.52305033,94.60498314,46302636119.82624,2.5719,60285839338.25,,2024-02-12T05:29:00.000Z,,,,,,2024-02-12 05:38:46.104048
5,52,XRP,XRP,xrp,1227,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,54506969135.0,99987912526.0,False,,6,,,,2024-02-12T05:29:00.000Z,0.521712095153486,750854504.1754113,22.1553,-0.253581,-1.16333122,3.49231021,-9.25703699,-16.65010277,-21.54402548,28436945067.887245,1.5796,52171209515.35,,2024-02-12T05:29:00.000Z,,,,,,2024-02-12 05:38:46.104048
6,3408,USDC,USDC,usd-coin,16656,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,27922548984.264103,27922548984.264103,False,,7,,,,2024-02-12T05:29:00.000Z,0.9999883927322302,4093636020.983009,6.8868,-0.00470662,0.00344901,-0.01748829,-0.01509015,-0.00098924,0.00087971,27922224879.761227,1.5511,27922224879.76,,2024-02-12T05:29:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-02-12 05:38:46.104048
7,2010,Cardano,ADA,cardano,1068,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35442797280.238,36613928911.921,False,,8,,,,2024-02-12T05:28:00.000Z,0.5379235090251838,430786155.4045533,-10.3951,-0.12075036,-4.17570336,8.5073176,-1.93742707,-17.5815872,48.94299944,19065513882.653866,1.059,24206557906.13,,2024-02-12T05:28:00.000Z,,,,,,2024-02-12 05:38:46.104048
8,5805,Avalanche,AVAX,avalanche,661,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",720000000.0,367475733.44849443,435508643.44849443,False,,9,,,,2024-02-12T05:28:00.000Z,38.78479939008383,543568411.6825924,-17.745,0.09803022,-3.83395946,11.7781229,8.35308409,0.78404676,131.10483948,14252472602.523777,0.7917,27925055560.86,,2024-02-12T05:28:00.000Z,,,,,,2024-02-12 05:38:46.104048
9,1975,Chainlink,LINK,chainlink,1631,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",1000000000.0,587099970.4527867,1000000000.0,False,,10,,,,2024-02-12T05:28:00.000Z,20.036387645053345,761908232.9409288,28.5965,0.02037566,0.10211058,8.02901282,41.74914652,35.49785687,35.97159469,11763362594.3914,0.6534,20036387645.05,,2024-02-12T05:28:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-02-12 05:38:46.104048
